,str_id,src,dst,road,direction,dist
320,1010013500,을지로5가,오장동사거리,동호로,상행,249
321,1010013600,오장동사거리,을지로5가,동호로,하행,249
322,1010013700,서울시의회,덕수궁,세종대로,상행,230
323,1010013800,덕수궁,서울시의회,세종대로,하행,235
324,1010013900,을지로1가,시청앞광장,을지로,하행,321
325,1010014000,시청앞광장,을지로1가,을지로,상행,321
326,1010014100,을지로2가,을지로1가,을지로,하행,429
327,1010014200,을지로1가,을지로2가,을지로,상행,429
328,1010014300,을지로3가역,을지로2가,을지로,하행,194
329,1010014400,을지로2가,을지로3가역,을지로,상행,194
330,1010014500,동대문디자인플라자,동대문역사문화공원입구,을지로45길,상행,419
331,1010014600,동대문역사문화공원입구,동대문디자인플라자,을지로45길,하행,423
332,1010014700,을지로3가,을지로3가역,을지로,하행,255
333,1010014800,을지로3가역,을지로3가,을지로,상행,255
334,1010014900,을지로5가,동대문역사문화공원역,을지로,상행,500
335,1010015000,동대문역사문화공원역,을지로5가,을지로,하행,504
336,1010015100,정동사거리,정동제일교회,정동길,상행,524
337,1010015200,정동제일교회,정동사거리,정동길,하행,519
338,1010015400,시청앞광장,국가인권위원회,무교로,상행,108
339,1010015500,황학사거리,도로교통공단,난계로,하행,301
340,1010015600,도로교통공단,황학사거리,난계로,상행,301
341,1010015700,을지로4가,을지로3가,을지로,하행,487
342,1010015800,을지로3가,을지로4가,을지로,상행,487
343,1010015900,흥인사거리,신당역,다산로,상행,294
344,1010016000,신당역,흥인사거리,다산로,하행,295
345,1010016100,을지로5가,을지로4가,을지로,하행,366
346,1010016200,을지로4가,을지로5가,을지로,상행,366
347,1010016400,국가인권위원회,서울시의회,세종대로20길,상행,183
348,1010016500,청계2가,을지로2가,삼일대로,상행,220
349,1010016600,을지로2가,청계2가,삼일대로,하행,218
350,1010016800,을지로3가,청계3가,충무로,상행,220
351,1010016900,광교,을지로1가,남대문로,상행,313
352,1010017000,을지로1가,광교,남대문로,하행,313
353,1010017100,청계4가,을지로4가,창경궁로,하행,247
354,1010017300,청계6가,동대문역사문화공원역,장충단로,하행,455
355,1010017400,동대문역사문화공원역,청계6가,장충단로,상행,460
356,1010017600,국가인권위원회,모전교,무교로,상행,230
357,1010017800,정동제일교회,새문안교회,덕수궁길,상행,578
358,1010017900,흥인사거리,동대문디자인플라자,마장로,상행,317
359,1010018000,동대문디자인플라자,흥인사거리,마장로,하행,314
360,1010018100,청계광장,서울시의회,세종대로,상행,240
361,1010018200,서울시의회,청계광장,세종대로,하행,240
362,1010018300,청계5가,을지로5가,동호로,상행,307
363,1010018400,을지로5가,청계5가,동호로,하행,307
364,1010018500,흥인사거리,황학사거리,마장로,하행,669
